date,output_kwh,temperature_c,humidity_percent
2024-06-01,4200,25,45
2024-06-02,4150,26,50
2024-06-03,4000,27,48
2024-06-04,3800,28,55
2024-06-05,3000,30,60
2024-06-06,4100,29,53
2024-06-07,4300,27,47
2024-06-08,4400,26,46
2024-06-09,3900,28,54
2024-06-10,3950,29,52
2024-06-11,4200,25,45
2024-06-12,4150,26,50
2024-06-13,4000,27,48
2024-06-14,3800,28,55
2024-06-15,3000,30,60
2024-06-16,4100,29,53
2024-06-17,4300,27,47
2024-06-18,4400,26,46
2024-06-19,3900,28,54
2024-06-20,3950,29,52
2024-06-21,4200,25,45
2024-06-22,4150,26,50
2024-06-23,4000,27,48
2024-06-24,3800,28,55
2024-06-25,3000,30,60
2024-06-26,4100,29,53
2024-06-27,4300,27,47
2024-06-28,4400,26,46
2024-06-29,3900,28,54
2024-06-30,3950,29,52
2024-07-01,4200,25,45
2024-07-02,4150,26,50
2024-07-03,4000,27,48
2024-07-04,3800,28,55
2024-07-05,3000,30,60
2024-07-06,4100,29,53
2024-07-07,4300,27,47
2024-07-08,4400,26,46
2024-07-09,3900,28,54
2024-07-10,3950,29,52
2024-07-11,4200,25,45
2024-07-12,4150,26,50
2024-07-13,4000,27,48
2024-07-14,3800,28,55
2024-07-15,3000,30,60
2024-07-16,4100,29,53
2024-07-17,4300,27,47
2024-07-18,4400,26,46
2024-07-19,3900,28,54
2024-07-20,3950,29,52
2024-07-21,4200,25,45
2024-07-22,4150,26,50
2024-07-23,4000,27,48
2024-07-24,3800,28,55
2024-07-25,3000,30,60
2024-07-26,4100,29,53
2024-07-27,4300,27,47
2024-07-28,4400,26,46
2024-07-29,3900,28,54
2024-07-30,3950,29,52
